age	 lit_no	 whole width	 left side range	 whole integral	 left side integral	 max loc	 max alpha	 min alpha	 file name 
16.50	 4	 2.906817	 0.430922	 3.998845	 0.816887	 2.146226	 4.622122	 1.715304	 2019_05_07_E16,5_WT1_right_res.mat
16.50	 4	 2.402993	 0.308863	 3.245190	 0.528658	 2.075449	 4.169579	 1.766586	 2019_05_07_E16,5_WT2_left-1.tif_res.mat
16.50	 4	 2.608863	 0.372368	 3.367726	 0.723093	 2.111479	 4.347974	 1.739110	 2019_05_07_E16,5_WT3_left-1.tif_res.mat
16.50	 4	 2.801303	 0.490769	 3.558428	 0.934683	 2.133908	 4.444443	 1.643140	 2019_05_07_E16,5_WT3_right_res.mat
16.50	 4	 2.667980	 0.584957	 4.192245	 1.121433	 2.201508	 4.284531	 1.616551	 2019_05_07_E16,5_WT4_left-1.tif_res.mat
16.50	 4	 2.712578	 0.555331	 4.156383	 1.061743	 2.202262	 4.359509	 1.646931	 2019_05_07_E16,5_WT4_right-1.tif_res.mat
16.50	 4	 2.611129	 0.302066	 3.635952	 0.581180	 1.993204	 4.302267	 1.691138	 2019_05_07_E16,5_Wt1_left-1.tif_res.mat
16.50	 5	 2.774265	 0.637935	 4.413593	 1.220636	 2.276901	 4.413230	 1.638966	 2019_05_23_E16,5_WT4_left-1.tif_res.mat
16.50	 5	 2.155861	 0.615100	 3.797789	 1.174406	 2.281660	 3.822421	 1.666560	 2019_05_23_E16,5_WT4_right-1.tif_res.mat
16.50	 5	 2.450531	 0.548104	 3.559821	 1.023687	 2.162809	 4.065237	 1.614705	 2019_05_23_E16,5_WT_left-1.tif_res.mat
16.50	 5	 1.598446	 0.460252	 2.842445	 0.884355	 2.188274	 3.326468	 1.728021	 2019_05_23_E16,5_WT_right-1.tif_res.mat
16.50	 6	 2.088179	 0.449221	 3.660403	 0.792669	 2.259645	 3.898602	 1.810423	 2019_11_26_e16,5_wt1_left-1.tif_res.mat
16.50	 6	 2.515814	 0.457476	 4.229468	 0.840252	 2.202492	 4.260830	 1.745016	 2019_11_26_e16,5_wt1_right-1.tif_res.mat
16.50	 6	 2.250061	 0.432057	 3.813034	 0.756284	 2.216460	 4.034464	 1.784403	 2019_11_26_e16,5_wt2_left-1.tif_res.mat
16.50	 6	 2.102490	 0.442357	 3.592714	 0.684374	 2.288013	 3.948146	 1.845656	 2019_11_26_e16,5_wt2_right-1.tif_res.mat
16.50	 6	 2.113965	 0.438253	 3.687737	 0.789803	 2.261288	 3.937000	 1.823035	 2019_11_26_e16,5_wt3_left-1.tif_res.mat
16.50	 6	 2.394829	 0.445701	 3.835946	 0.771146	 2.179881	 4.129009	 1.734180	 2019_11_26_e16,5_wt3_right-1.tif_res.mat
16.50	 6	 2.286112	 0.495824	 3.947083	 0.967533	 2.240363	 4.030652	 1.744540	 2019_11_26_e16,5_wt4_left-1.tif_res.mat
16.50	 6	 2.363503	 0.515869	 4.083661	 0.974991	 2.329400	 4.177034	 1.813531	 2019_11_26_e16,5_wt4_right-1.tif_res.mat
16.50	 6	 1.984724	 0.448516	 3.519335	 0.828321	 2.249195	 3.785403	 1.800679	 2019_11_26_e16,5_wt5_left-1.tif_res.mat
16.50	 7	 2.695010	 0.661428	 4.532453	 1.254813	 2.122310	 4.155891	 1.460881	 2020_01_10_E16,5_WT1_left-1.tif_res.mat
16.50	 7	 2.815838	 0.743768	 4.747685	 1.406357	 2.226792	 4.298861	 1.483024	 2020_01_10_E16,5_WT1_right-1.tif_res.mat
16.50	 7	 2.652200	 0.705085	 4.282606	 1.320461	 2.110758	 4.057873	 1.405674	 2020_01_10_E16,5_WT2_left-1.tif_res.mat
16.50	 7	 2.447052	 0.634284	 4.180482	 1.214684	 2.197529	 4.010297	 1.563245	 2020_01_10_E16,5_WT3_left-1.tif_res.mat
16.50	 7	 2.752627	 0.666499	 4.525266	 1.268996	 2.230038	 4.316166	 1.563539	 2020_01_10_E16,5_WT3_right-1.tif_res.mat
